Sr No,Type,Res Type,Res Grp,SKU,Item ID,Item Name,1 Day,2-4 Days,5-8 Days,9+ Days,Status,Tax Rate,MRP,Last Update
1,Card CFEx-A,Storage,Memory Cards,PF160CEA800,2567,Prograde 160GB CFExpress Type A 2.0 Card,350,300,250,250,Active,18,35000,2024-01-01
2,Camera Body,Camera,DSLR,CN5DMKIV,1001,Canon EOS 5D Mark IV,2500,2200,2000,1800,Active,18,280000,2024-01-15
3,Lens,Optics,Prime Lens,CN24F14,1002,Canon EF 24mm f/1.4L II USM,1500,1300,1200,1000,Active,18,150000,2024-01-15
4,Lens,Optics,Zoom Lens,CN70200F28,1003,Canon EF 70-200mm f/2.8L IS II USM,1200,1000,900,800,Active,18,120000,2024-01-15
5,Lighting,Lighting,LED Panel,NEEWER500,1004,Neewer 500 LED Bi-Color Panel,800,700,600,500,Active,18,25000,2024-01-20
6,Microphone,Audio,Wireless Mic,RODE-WIRELESSGO,1005,RODE Wireless GO II,600,500,400,350,Active,18,30000,2024-01-20
7,Tripod,Support,Tripod,MANFROTTO055,1006,Manfrotto 055 Aluminum Tripod,400,350,300,250,Active,18,15000,2024-01-25
8,Monitor,Display,Reference Monitor,ATOMOS703,1007,Atomos Shogun 7 4K Monitor,1800,1600,1400,1200,Active,18,80000,2024-02-01
9,Gimbal,Stabilization,Gimbal,DJI-RONIN4D,1008,DJI Ronin 4D,3500,3000,2800,2500,Active,18,450000,2024-02-05
10,Drone,Camera,Aerial,DJI-INSPIRE3,1009,DJI Inspire 3,2500,2200,2000,1800,Active,18,350000,2024-02-10
11,Card CFast,Storage,Memory Cards,SANDISK256CF,2568,SanDisk 256GB Extreme CompactFlash,250,200,150,100,Active,18,28000,2024-02-15
12,Reflector,Lighting,Reflector,NEEWER5IN1,1010,Neewer 5-in-1 Reflector Kit,200,150,100,80,Active,18,2500,2024-02-20
13,Boom Mic,Audio,Boom Microphone,RODE-NTG3,1011,RODE NTG3 Shotgun Microphone,500,400,300,250,Active,18,20000,2024-02-25
14,Slider,Support,Slider,DOLLY-SLIDER,1012,Motorized Camera Slider 60cm,700,600,500,400,Active,18,35000,2024-03-01
15,Follow Focus,Support,Focus Puller,TILTA-FF,1013,Tilta Follow Focus System,1000,900,800,700,Active,18,50000,2024-03-05
